,cant_carga,total_trips,demanda,latitude,longitude
545,0,0,0,-12.2255094,-76.9593698
546,20,2,40,-12.2270171,-76.9603377
547,10,5,50,-12.2268143,-76.9594855
548,90,2,180,-12.226019,-76.9573603
549,280,7,1960,-12.2260989,-76.9574796
550,0,0,0,-12.2258995,-76.957287
551,0,0,0,-12.2270971,-76.9578208
552,110,2,220,-12.226846,-76.9580354
553,200,2,400,-12.2267816,-76.9606913
554,0,0,0,-12.2261795,-76.9586618
555,18,6,108,-12.2263805,-76.9586638
556,5,1,5,-12.2272784,-76.9579819
557,60,1,60,-12.2270075,-76.9582957
558,0,0,0,-12.2270344,-76.9582524
559,0,0,0,-12.2264024,-76.9581852
560,30,4,120,-12.225943,-76.9572206
561,0,0,0,-12.2244652,-76.9579873
562,20,2,40,-12.2244384,-76.9580274
563,6,6,36,-12.2197176,-76.9449154
564,5,2,10,-12.2195529,-76.9446728
565,0,0,0,-12.2209061,-76.9449675
566,0,0,0,-12.2216929,-76.9453385
567,0,0,0,-12.2220915,-76.9457556
